Name,Club,Position,Age,Current_Value,Last_Update_Date,Max_Value
Erling Haaland,Manchester City,Centre-Forward,23,180.00,"May 27, 2024",€180.00m
Phil Foden,Manchester City,Right Winger,24,150.00,"May 27, 2024",€150.00m
Bukayo Saka,Arsenal FC,Right Winger,22,140.00,"May 27, 2024",€140.00m
Rodri,Manchester City,Defensive Midfield,28,120.00,"May 27, 2024",€120.00m
Declan Rice,Arsenal FC,Defensive Midfield,25,120.00,"May 27, 2024",€120.00m
Martin Ødegaard,Arsenal FC,Attacking Midfield,25,110.00,"May 27, 2024",€110.00m
Julián Álvarez,Manchester City,Centre-Forward,24,90.00,"May 27, 2024",€90.00m
Bruno Guimarães,Newcastle United,Defensive Midfield,26,85.00,"May 27, 2024",€85.00m
William Saliba,Arsenal FC,Centre-Back,23,80.00,"May 27, 2024",€80.00m
Cole Palmer,Chelsea FC,Attacking Midfield,22,80.00,"May 27, 2024",€80.00m
Rúben Dias,Manchester City,Centre-Back,27,80.00,"May 27, 2024",€80.00m
Alexander Isak,Newcastle United,Centre-Forward,24,75.00,"May 27, 2024",€75.00m
Moisés Caicedo,Chelsea FC,Defensive Midfield,22,75.00,"May 27, 2024",€90.00m
Luis Díaz,Liverpool FC,Left Winger,27,75.00,"May 27, 2024",€75.00m
Enzo Fernández,Chelsea FC,Central Midfield,23,75.00,"May 27, 2024",€85.00m
Alexis Mac Allister,Liverpool FC,Central Midfield,25,75.00,"May 27, 2024",€75.00m
Josko Gvardiol,Manchester City,Left-Back,22,75.00,"May 27, 2024",€80.00m
Dominik Szoboszlai,Liverpool FC,Central Midfield,23,75.00,"May 27, 2024",€75.00m
Darwin Núñez,Liverpool FC,Centre-Forward,25,70.00,"May 27, 2024",€70.00m
Kai Havertz,Arsenal FC,Attacking Midfield,25,70.00,"May 27, 2024",€90.00m
Bruno Fernandes,Manchester United,Attacking Midfield,29,70.00,"May 27, 2024",€90.00m
Trent Alexander-Arnold,Liverpool FC,Right-Back,25,70.00,"May 27, 2024",€110.00m
Bernardo Silva,Manchester City,Attacking Midfield,29,70.00,"May 27, 2024",€100.00m
James Maddison,Tottenham Hotspur,Attacking Midfield,27,70.00,"May 27, 2024",€70.00m
Gabriel Martinelli,Arsenal FC,Left Winger,23,70.00,"May 27, 2024",€85.00m
Darwin Núñez,Liverpool FC,Centre-Forward,25,70.00,"May 27, 2024",€70.00m
Ollie Watkins,Aston Villa,Centre-Forward,28,65.00,"May 27, 2024",€65.00m
Rasmus Højlund,Manchester United,Centre-Forward,21,65.00,"May 27, 2024",€65.00m
Lucas Paquetá,West Ham United,Attacking Midfield,26,65.00,"May 27, 2024",€65.00m
Gabriel Jesus,Arsenal FC,Centre-Forward,27,65.00,"May 27, 2024",€80.00m
Christopher Nkunku,Chelsea FC,Attacking Midfield,26,65.00,"May 27, 2024",€80.00m
Jérémy Doku,Manchester City,Left Winger,22,65.00,"May 27, 2024",€65.00m
Cristian Romero,Tottenham Hotspur,Centre-Back,26,60.00,"May 27, 2024",€65.00m
Marcus Rashford,Manchester United,Left Winger,26,60.00,"May 27, 2024",€85.00m
Anthony Gordon,Newcastle United,Left Winger,23,60.00,"May 27, 2024",€60.00m
Jack Grealish,Manchester City,Left Winger,28,60.00,"May 27, 2024",€100.00m
Dejan Kulusevski,Tottenham Hotspur,Right Winger,24,55.00,"May 27, 2024",€55.00m
Micky van de Ven,Tottenham Hotspur,Centre-Back,23,55.00,"May 27, 2024",€55.00m
Ben White,Arsenal FC,Right-Back,26,55.00,"May 27, 2024",€55.00m
Moussa Diaby,Aston Villa,Right Winger,25,55.00,"May 27, 2024",€60.00m
Mohamed Salah,Liverpool FC,Right Winger,32,55.00,"May 27, 2024",€150.00m
Pedro Neto,Wolverhampton Wanderers,Right Winger,24,55.00,"May 27, 2024",€55.00m
Eberechi Eze,Crystal Palace,Attacking Midfield,26,55.00,"May 27, 2024",€55.00m
Kevin De Bruyne,Manchester City,Attacking Midfield,33,50.00,"May 27, 2024",€150.00m
Jarrod Bowen,West Ham United,Right Winger,27,50.00,"May 27, 2024",€50.00m
Evan Ferguson,Brighton & Hove Albion,Centre-Forward,19,50.00,"May 27, 2024",€65.00m
Conor Gallagher,Chelsea FC,Central Midfield,24,50.00,"May 27, 2024",€50.00m
Ivan Toney,Brentford FC,Centre-Forward,28,50.00,"May 27, 2024",€50.00m
Levi Colwill,Chelsea FC,Centre-Back,21,50.00,"May 27, 2024",€55.00m
Matheus Nunes,Manchester City,Central Midfield,25,50.00,"May 27, 2024",€55.00m
Cody Gakpo,Liverpool FC,Left Winger,25,50.00,"May 27, 2024",€60.00m
Joshua Zirkzee,Manchester United,Centre-Forward,23,50.00,"Jun 5, 2024",€50.00m
Mohammed Kudus,West Ham United,Attacking Midfield,23,50.00,"May 27, 2024",€50.00m
Amadou Onana,Everton FC,Defensive Midfield,22,50.00,"May 27, 2024",€50.00m
Diogo Jota,Liverpool FC,Left Winger,27,50.00,"May 27, 2024",€60.00m
Kobbie Mainoo,Manchester United,Central Midfield,19,50.00,"May 27, 2024",€50.00m
Brennan Johnson,Tottenham Hotspur,Right Winger,23,48.00,"May 27, 2024",€48.00m
João Pedro,Brighton & Hove Albion,Centre-Forward,22,45.00,"May 27, 2024",€45.00m
Ibrahima Konaté,Liverpool FC,Centre-Back,25,45.00,"May 27, 2024",€45.00m
Lisandro Martínez,Manchester United,Centre-Back,26,45.00,"May 27, 2024",€50.00m
Sven Botman,Newcastle United,Centre-Back,24,45.00,"May 27, 2024",€45.00m
Pape Matar Sarr,Tottenham Hotspur,Central Midfield,21,45.00,"May 27, 2024",€45.00m
Pedro Porro,Tottenham Hotspur,Right-Back,24,45.00,"May 27, 2024",€45.00m
Heung-min Son,Tottenham Hotspur,Left Winger,32,45.00,"May 27, 2024",€90.00m
Matheus Cunha,Wolverhampton Wanderers,Centre-Forward,25,45.00,"May 27, 2024",€45.00m
Destiny Udogie,Tottenham Hotspur,Left-Back,21,45.00,"May 27, 2024",€45.00m
Manuel Akanji,Manchester City,Centre-Back,28,45.00,"May 27, 2024",€45.00m
Kaoru Mitoma,Brighton & Hove Albion,Left Winger,27,45.00,"May 27, 2024",€50.00m
Alejandro Garnacho,Manchester United,Left Winger,20,45.00,"May 27, 2024",€45.00m
Pau Torres,Aston Villa,Centre-Back,27,45.00,"May 27, 2024",€50.00m
Leon Bailey,Aston Villa,Right Winger,26,42.00,"May 27, 2024",€45.00m
Jarrad Branthwaite,Everton FC,Centre-Back,22,42.00,"May 27, 2024",€42.00m
Bryan Mbeumo,Brentford FC,Right Winger,24,40.00,"May 27, 2024",€40.00m
Dominic Solanke,AFC Bournemouth,Centre-Forward,26,40.00,"May 27, 2024",€40.00m
Axel Disasi,Chelsea FC,Centre-Back,26,40.00,"May 27, 2024",€42.00m
Axel Disasi,Chelsea FC,Centre-Back,26,40.00,"May 27, 2024",€42.00m
Joelinton,Newcastle United,Central Midfield,27,40.00,"May 27, 2024",€42.00m
Morgan Gibbs-White,Nottingham Forest,Attacking Midfield,24,40.00,"May 27, 2024",€40.00m
Nathan Aké,Manchester City,Centre-Back,29,40.00,"May 27, 2024",€42.00m
Ian Maatsen,Aston Villa,Left-Back,22,40.00,"May 29, 2024",€40.00m
Jurrien Timber,Arsenal FC,Centre-Back,23,38.00,"May 27, 2024",€45.00m
Sandro Tonali,Newcastle United,Defensive Midfield,24,38.00,"May 27, 2024",€60.00m
Oleksandr Zinchenko,Arsenal FC,Left-Back,27,38.00,"May 27, 2024",€42.00m
Richarlison,Tottenham Hotspur,Centre-Forward,27,38.00,"May 27, 2024",€65.00m
Rico Lewis,Manchester City,Right-Back,19,38.00,"May 27, 2024",€38.00m
Boubacar Kamara,Aston Villa,Defensive Midfield,24,38.00,"May 27, 2024",€38.00m
Marc Guéhi,Crystal Palace,Centre-Back,24,38.00,"May 27, 2024",€38.00m
John Stones,Manchester City,Centre-Back,30,38.00,"May 27, 2024",€60.00m
Mykhaylo Mudryk,Chelsea FC,Left Winger,23,35.00,"May 27, 2024",€60.00m
Ryan Gravenberch,Liverpool FC,Central Midfield,22,35.00,"May 27, 2024",€35.00m
André Onana,Manchester United,Goalkeeper,28,35.00,"May 27, 2024",€45.00m
Tino Livramento,Newcastle United,Right-Back,21,35.00,"May 27, 2024",€35.00m
Yves Bissouma,Tottenham Hotspur,Defensive Midfield,27,35.00,"May 27, 2024",€35.00m
Jacob Ramsey,Aston Villa,Attacking Midfield,23,35.00,"May 27, 2024",€42.00m
Rodrigo Bentancur,Tottenham Hotspur,Central Midfield,27,35.00,"May 27, 2024",€50.00m
Ezri Konsa,Aston Villa,Centre-Back,26,35.00,"May 27, 2024",€35.00m
Roméo Lavia,Chelsea FC,Defensive Midfield,20,35.00,"May 27, 2024",€50.00m
Ederson,Manchester City,Goalkeeper,30,35.00,"May 27, 2024",€70.00m
Mason Mount,Manchester United,Attacking Midfield,25,35.00,"May 27, 2024",€75.00m
Leandro Trossard,Arsenal FC,Left Winger,29,35.00,"May 27, 2024",€38.00m
